"dist","regime","label","n","p","alpha","is_covered","c_estimate"
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.018
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02101
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02401
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0161
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.018
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",FALSE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02401
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02401
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01905
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01905
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01805
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02401
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0171
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01905
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01905
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0171
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02201
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022
