"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.027,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.02,-0.016
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.019
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.016
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.027,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.022
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.018
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.021,-0.018
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.026,-0.023
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.016
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.025,-0.02
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.018,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.021,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.019,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.02,-0.017
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017,-0.015
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024,-0.021
